channelTitle,channelCategory,totalViewCount,numLicensedContent,numUnlicensedContent,channelAvgDailyViews,channelAvgViewCount,channelAvgLikeCount,channelAvgCommentCount,channelAvgEngagementRate
Alexa Rivera,Howto & Style,3423296512,215,0,20971.15,15922309.36,493987.97,9530.8,0.03
Al Jazeera English,News & Politics,865417762,281,1,7279.69,3068857.31,61219.91,5986.63,0.03
Bad Bunny,Music,4891910365,91,2,43230.28,52601186.72,593478.7,13856.16,0.02
Barstool Sports,Comedy,296892999,160,35,3006.67,1522528.2,38511.49,1005.73,0.02
BeardMeatsFood,People & Blogs,845674890,148,0,13008.11,5714019.53,116520.2,5344.3,0.02
big boss,Entertainment,55966335,16,2,4830.44,3109240.83,107503.0,7554.06,0.04
Bikes and Beards,Entertainment,475693168,178,0,5479.19,2672433.53,53250.19,2530.96,0.02
BingCrosbyVEVO,Music,69471265,16,0,7515.02,4341954.06,25691.19,1103.38,0.02
Bloodhound Q50,People & Blogs,22638720,0,13,18932.23,1741440.0,25368.85,1346.77,0.02
Brawl Stars,Gaming,2061963054,166,4,16594.82,12129194.44,356505.62,16567.7,0.04
brewstewfilms,Comedy,1193543753,155,2,4326.48,7602189.51,118573.01,4955.35,0.02
Brown Town Music,Music,1274910146,119,1,10724.93,10624251.22,133230.53,2916.93,0.02
Call of Duty,Gaming,1055133739,175,10,5281.8,5703425.62,82954.96,15025.99,0.03
Cash Marco,Entertainment,71523691,122,1,4753.0,581493.42,11757.89,2285.13,0.03
CaspianReport,News & Politics,159270142,146,1,2092.77,1083470.35,31646.9,5451.1,0.04
Chelsea Football Club,Sports,578750180,294,5,6261.83,1935619.33,41845.12,991.0,0.04
CNBC,News & Politics,585567806,153,0,4081.34,3827240.56,40470.41,7916.02,0.01
Coldplay,Music,5844640011,204,15,9725.54,26687853.93,220297.6,8588.03,0.04
cricket.com.au,Sports,2467775920,254,9,11416.95,9383178.4,138879.19,3208.19,0.03
Cyberpunk 2077,Gaming,496851297,140,1,2905.3,3523768.06,85438.61,6770.93,0.04
Dani and Snappy,Gaming,7481172,18,0,42862.42,415620.67,4832.61,896.44,0.01
DEATH BATTLE!,Entertainment,1352231348,211,17,3159.26,5930839.25,107613.01,32411.58,0.04
Don't Hug Me .I'm Scared,Film & Animation,318315638,11,2,7174.46,24485818.31,471844.08,56365.15,0.03
Epicurious,Howto & Style,1053911058,175,0,4489.37,6022348.9,103253.94,6817.27,0.02
Ethan Chlebowski,People & Blogs,210101184,149,0,1869.1,1410075.06,36640.07,1800.37,0.03
Farruko,Music,1709805300,43,32,12115.3,22797404.0,180985.29,5197.8,0.02
FARRUKOVEVO,Music,2426098632,77,0,14901.02,31507774.44,233859.39,5518.35,0.01
fern,Entertainment,127627102,50,2,17606.81,2454367.35,75245.83,3460.85,0.04
Flamingo,Gaming,2751279729,151,0,10525.03,18220395.56,281008.03,29227.5,0.02
FORMULA 1,Sports,1812249846,298,1,7674.62,6061036.27,121309.39,3453.12,0.03
Fortnite,Gaming,1949903504,221,71,7180.89,6677751.73,101239.32,6621.12,0.04
Hangtime,Entertainment,184386026,126,3,6654.58,1429349.04,43659.56,1749.71,0.03
