publishedAt,elapsedDays,title,channelTitle,category,topicCategories,duration,licensedContent,viewCount,likeCount,commentCount,avgDailyViews,engagementRate,isTrending
2019-09-21T18:58:16Z,1907.8049,I'm PREGNANT!?,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT8M30S,True,44626484,743548,32968,23391.53,0.0174,0
2019-11-09T20:20:09Z,1858.748,24 HOUR OVERNIGHT IN GYMNASTICS GYM!,Alexa Rivera,Howto & Style,"['Lifestyle (sociology)', 'Physical fitness']",PT10M13S,True,32585973,559573,18381,17531.14,0.0177,0
2021-06-27T02:12:19Z,1263.5035,TESTING MY BOY FRIENDS TO SEE IF THEY ARE GENTLEMEN!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT9M40S,True,31132133,726601,23110,24639.53,0.0241,0
2021-04-18T03:20:20Z,1333.4562,CRYING WITH THE DOOR LOCKED!! *PRANK*,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT8M32S,True,28841643,720863,22887,21629.24,0.0258,0
2020-04-25T19:30:37Z,1690.7824,24 HOUR OVERNIGHT CHALLENGE IN ABANDONED HOUSE!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT10M52S,True,27260391,788117,27351,16122.94,0.0299,0
2020-04-04T21:04:17Z,1711.7174,PRANKING MY CRUSH FOR A WEEK!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT8M24S,True,26053185,732219,21941,15220.49,0.0289,0
2021-03-21T00:08:41Z,1361.5893,EXPOSING MY FAKE FRIENDS!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT9M25S,True,22771251,558303,14684,16724.02,0.0252,0
2021-07-04T05:41:53Z,1256.3579,"I BECOME A ""BABY"" FOR THE DAY!!",Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT8M56S,True,22421873,479079,13906,17846.72,0.022,0
2021-02-21T06:11:13Z,1389.3376,WHO IS THE BEST COUPLE?!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT10M47S,True,22331465,571618,20466,16073.46,0.0265,0
2020-07-18T20:43:58Z,1606.7315,BABY CHOOSES WHAT WE DO ALL DAY!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT8M40S,True,22165696,541326,18348,13795.52,0.0252,0
2020-08-15T20:17:23Z,1578.7499,24 HOUR OVERNIGHT CHALLENGE IN BRENT'S CAR!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT8M49S,True,21744679,516671,17617,13773.35,0.0246,0
2020-08-22T19:40:01Z,1571.7759,TURNING MY BACKYARD INTO A WATERPARK!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT8M1S,True,21635566,662054,16832,13765.05,0.0314,0
2020-12-27T01:48:47Z,1445.5198,I HID FROM MY FRIENDS FOR 24 HOURS!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT10M45S,True,21142683,501518,19753,14626.35,0.0247,0
2020-02-01T22:27:01Z,1774.6599,24 HOUR OVERNIGHT IN TRAMPOLINE PARK!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT10M7S,True,21118110,570458,12788,11899.81,0.0276,0
2021-09-05T06:39:41Z,1193.3178,LAST TO LEAVE THE BATHROOM!!,Alexa Rivera,Howto & Style,"['Humour', 'Lifestyle (sociology)']",PT9M39S,True,21045794,459486,16087,17636.37,0.0226,0
2021-10-31T05:43:54Z,1137.3565,I TRAPPED THE BOYS IN AN UNBREAKABLE BOX!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT13M7S,True,20159963,481141,15790,17725.28,0.0246,0
2021-04-25T01:06:53Z,1326.5489,24 HOUR OVERNIGHT IN TARGET!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT9M20S,True,19550550,439163,12233,14737.9,0.0231,0
2019-11-16T21:14:40Z,1851.7102,HICKEY PRANK ON CRUSH!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT7M31S,True,19063564,476996,16073,10295.11,0.0259,0
2021-09-12T07:22:38Z,1186.288,I WORE A SCANDALOUS OUTFIT TO SEE HOW MY FRIENDS REACT!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT8M,True,18830952,486259,11970,15873.85,0.0265,0
2021-08-15T04:31:17Z,1214.407,SPYING ON MY FRIENDS FOR THE DAY!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT9M53S,True,18529764,433970,10413,15258.28,0.024,0
2020-02-22T21:16:03Z,1753.7092,BRENT AND I PRANK OUR MOM!!,Alexa Rivera,Howto & Style,"['Humour', 'Lifestyle (sociology)']",PT7M37S,True,18514561,421873,9486,10557.37,0.0233,0
2022-12-09T01:36:32Z,733.5283,WHO ARE THE BETTER PARENTS?!,Alexa Rivera,Entertainment,['Lifestyle (sociology)'],PT10M57S,True,18361584,174385,7597,25031.87,0.0099,0
2019-01-05T22:47:23Z,2166.6458,Who Knows Brent Better?! (ME vs EVA),Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT6M57S,True,18302433,412409,29000,8447.36,0.0241,0
2020-08-01T20:12:14Z,1592.7535,ASKING BOYS AWKWARD QUESTIONS!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT10M16S,True,17612837,519371,17164,11058.11,0.0305,0
2019-10-05T19:56:19Z,1893.7646,OVERNIGHT IN AN ICE SKATING RINK!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT9M6S,True,17040543,384398,9757,8998.24,0.0231,0
2023-01-21T04:27:57Z,690.4093,GUESS THE BOY FRIEND!!,Alexa Rivera,Entertainment,['Lifestyle (sociology)'],PT9M41S,True,16739346,202124,9320,24245.54,0.0126,0
2021-05-30T02:51:16Z,1291.4764,WHO CAN MAKE A BETTER STORE AT HOME?!,Alexa Rivera,Howto & Style,"['Food', 'Lifestyle (sociology)']",PT9M14S,True,16677724,390483,19077,12913.69,0.0246,0
2019-05-25T20:29:13Z,2026.7417,BEN GOES THROUGH MY PHONE!! (terrible idea),Alexa Rivera,Howto & Style,"['Humour', 'Lifestyle (sociology)']",PT7M,True,16274562,439596,8560,8029.91,0.0275,0
2021-11-14T23:25:55Z,1122.619,"LAST TO LEAVE $200,000 RV KEEPS IT!!",Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT13M6S,True,16242089,455542,9728,14468.03,0.0286,0
2020-07-11T20:20:09Z,1613.748,24 HOUR OVERNIGHT CHALLENGE IN BRENT'S ROOM!!,Alexa Rivera,Howto & Style,['Lifestyle (sociology)'],PT10M8S,True,16202767,489248,15217,10040.46,0.0311,0
