publishedAt,elapsedDays,title,channelTitle,category,topicCategories,duration,licensedContent,viewCount,likeCount,commentCount,avgDailyViews,engagementRate,isTrending
2024-10-18T04:00:07Z,54.4286,ROSÉ & Bruno Mars - APT. (Official Music Video),ROSÉ,Music,"['Music', 'Pop music']",PT2M54S,True,553630683,10791998,484175,10171687.0,0.0204,1
2024-12-10T08:00:06Z,0.8621,28 YEARS LATER – Official Trailer (HD),Sony Pictures Entertainment,Entertainment,"['Entertainment', 'Film']",PT2M13S,True,6924910,290068,24004,8032606.43,0.04535,1
2024-12-06T05:00:06Z,5.3869,ROSÉ - toxic till the end (official music video),ROSÉ,Music,"['Music', 'Pop music']",PT3M54S,True,34433972,1660914,74908,6392168.41,0.0504,1
2024-12-08T16:00:08Z,2.9574,TOY STORY IN BRAWL STARS!?,Brawl Stars,Gaming,"['Action game', 'Video game culture']",PT8M20S,True,13747073,568795,58895,4648364.44,0.0457,1
2024-10-18T15:00:46Z,53.9698,excited to see what shorts ideas y’all come up with for apt.💗 brought to you by youtube shorts,ROSÉ,People & Blogs,"['Fashion', 'Lifestyle (sociology)']",PT28S,False,214429941,6618423,59532,3973146.85,0.0311,1
2024-12-09T14:00:17Z,2.0406,"Jordan, Brady, Cristiano… Who Said This?",UR · Cristiano,Sports,"['Association football', 'Sport']",PT9M49S,True,6443727,540283,23039,3157760.95,0.0874,1
2024-12-06T13:02:10Z,5.081,To Brawl AND BEYOND!,Brawl Stars,Gaming,"['Action game', 'Video game culture']",PT51S,True,15807541,417934,31104,3111108.25,0.0284,1
2024-12-06T04:59:07Z,4.9878,TWICE “Strategy (feat. Megan Thee Stallion)” M/V,JYP Entertainment,Music,"['Electronic music', 'Music', 'Music of Asia', 'Pop music']",PT3M51S,True,13743403,885753,90174,2755403.79,0.07101,1
2024-11-21T14:00:07Z,20.0407,I Meet MrBeast To Break The Internet!!,UR · Cristiano,Sports,"['Association football', 'Sport']",PT14M,True,54031467,4871269,187425,2696086.81,0.0936,1
2024-11-30T17:00:06Z,10.9157,I face off with MrBeast,UR · Cristiano,Sports,['Lifestyle (sociology)'],PT12M26S,True,29096426,2262814,70367,2665557.5,0.0802,1
