publishedAt,elapsedDays,title,channelTitle,category,topicCategories,duration,licensedContent,viewCount,likeCount,commentCount,avgDailyViews,engagementRate,isTrending,trendingPercentile
2016-01-29T15:00:38Z,3238.9987,Coldplay - Hymn For The Weekend (Official Video),Coldplay,Music,"['Electronic music', 'Independent music', 'Music', 'Pop music']",PT4M21S,True,2107862724,15442415,426061,650776.03,0.00753,1,0.25
2011-10-19T02:42:54Z,4802.511,Coldplay - Paradise (Official Video),Coldplay,Music,"['Electronic music', 'Music', 'Pop music', 'Rock music']",PT4M21S,True,1916761655,9440285,360526,399116.56,0.00511,1,0.35
2015-11-29T08:00:45Z,3300.2903,Coldplay - Adventure Of A Lifetime (Official Video),Coldplay,Music,"['Electronic music', 'Independent music', 'Music', 'Pop music']",PT5M16S,True,1590125416,6440434,188995,481813.8,0.00417,1,0.25
2018-10-11T16:02:47Z,2252.9555,BAD BUNNY x DRAKE - MÍA (Video Oficial),Bad Bunny,Music,"['Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT3M31S,False,1555278097,8368308,205161,690327.93,0.00551,1,0.15
2020-10-30T04:00:11Z,1503.4573,BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial),Bad Bunny,Music,"['Electronic music', 'Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT3M34S,True,1524293569,9144648,265275,1013858.9,0.00617,1,0.15
2022-11-02T21:00:01Z,769.7203,Giving iPhones Instead Of Candy on Halloween,MrBeast,Entertainment,['Lifestyle (sociology)'],PT40S,True,1383747971,38285339,132948,1797728.31,0.02776,1,0.05
2022-12-08T20:12:27Z,733.7534,Would You Fly To Paris For A Baguette?,MrBeast,Entertainment,"['Entertainment', 'Film']",PT48S,True,1374788659,52441388,110957,1873638.55,0.03823,1,0.05
2011-05-27T16:20:57Z,4946.9429,Coldplay - The Scientist (Official 4K Video),Coldplay,Music,"['Independent music', 'Music', 'Pop music', 'Rock music']",PT4M26S,True,1244826241,6248958,137355,251635.46,0.00513,1,0.45
2019-05-31T14:00:06Z,2021.0407,BAD BUNNY - CALLAÍTA (Video Oficial),Bad Bunny,Music,"['Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT4M12S,True,1168888268,5275952,119906,578359.59,0.00462,1,0.25
2018-02-15T00:00:03Z,2491.6241,BAD BUNNY - AMORFODA (Video Oficial),Bad Bunny,Music,"['Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT2M57S,True,1165922390,8899251,393734,467936.71,0.00797,1,0.25
2011-05-30T13:12:47Z,4944.0736,Coldplay - Yellow (Official Video),Coldplay,Music,"['Electronic music', 'Independent music', 'Music', 'Pop music', 'Rock music']",PT4M33S,True,1126854983,6007634,155136,227920.35,0.00547,1,0.55
2016-12-31T05:37:30Z,2902.3898,BAD BUNNY - SOY PEOR (Video Oficial),Bad Bunny,Music,"['Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT4M30S,True,1093955013,6184235,253572,376915.26,0.00588,1,0.35
2022-06-20T19:00:09Z,904.8324,Bad Bunny ft. Chencho Corleone - Me Porto Bonito (Video Oficial) | Un Verano Sin Ti,Bad Bunny,Music,"['Electronic music', 'Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT3M12S,True,966776982,4593944,77325,1068459.73,0.00483,1,0.15
2014-06-19T12:13:08Z,3828.115,Coldplay - A Sky Full Of Stars (Official Video),Coldplay,Music,"['Electronic music', 'Music', 'Pop music', 'Rock music']",PT4M14S,True,956520194,4494531,93206,249867.15,0.0048,1,0.45
2008-08-04T09:36:03Z,5973.2241,Coldplay - Viva La Vida (Official Video),Coldplay,Music,"['Music', 'Pop music', 'Rock music']",PT4M3S,True,949006237,5510561,297887,158876.72,0.00612,1,0.75
2021-06-04T04:00:11Z,1286.4573,Bad Bunny - Yonaguni (Video Oficial),Bad Bunny,Music,"['Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT3M28S,True,938862590,6948995,220520,729804.7,0.00764,1,0.15
2022-06-01T18:00:02Z,923.8741,Bad Bunny - Tití Me Preguntó (Video Oficial) | Un Verano Sin Ti,Bad Bunny,Music,"['Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT4M51S,True,908421222,5509343,118938,983273.83,0.0062,1,0.15
2020-07-09T22:00:09Z,1615.7074,Rauw Alejandro & Camilo - Tattoo Remix (Video Oficial),Rauw Alejandro,Music,"['Electronic music', 'Music', 'Music of Latin America', 'Pop music']",PT3M43S,True,895542813,4997636,102515,554272.89,0.0057,1,0.25
2023-09-07T17:00:01Z,460.887,Katana Vs Bullet,MrBeast,Entertainment,['Entertainment'],PT41S,True,893396588,34172078,46155,1938428.7,0.0383,1,0.05
2016-07-23T01:43:50Z,3063.5232,Farruko - Chillax (Official Video) ft. Ky-Mani Marley,FARRUKOVEVO,Music,"['Electronic music', 'Hip hop music', 'Music', 'Music of Latin America', 'Pop music', 'Reggae']",PT5M37S,True,852388868,2288106,45240,278238.1,0.00274,1,0.45
2023-09-19T17:00:00Z,448.887,"$100,000,000 Car Doors",MrBeast,Entertainment,"['Lifestyle (sociology)', 'Vehicle']",PT29S,True,834667937,24869805,32647,1859416.59,0.02984,1,0.05
2018-04-09T08:59:51Z,2438.2492,"TWICE ""What is Love?"" M/V",JYP Entertainment,Music,"['Music', 'Music of Asia', 'Pop music']",PT3M44S,True,821435543,7685800,693445,336895.65,0.0102,1,0.35
2017-08-04T04:00:01Z,2686.4287,"Farruko, Bad Bunny, Rvssian - Krippy Kush (Official Video)",FARRUKOVEVO,Music,"['Electronic music', 'Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT3M54S,True,820072183,4428064,197551,305264.82,0.00564,1,0.45
2019-03-15T00:00:48Z,2098.6236,Rauw Alejandro & Chencho Corleone - El Efecto (Video Oficial),Rauw Alejandro,Music,"['Hip hop music', 'Music', 'Music of Latin America', 'Pop music']",PT3M28S,False,808779954,3510967,34804,385385.9,0.00438,1,0.35
